	chr	start	end	center	Sld3_G1_start	Sld3_G1_end	Sld3_G1_center	ARS_SGD	ARS_early	ARS_late
85	chrIII	160481	160631	160556				0	0	0
86	chrIII	166639	166789	166714	166602	166752	166677.0	1	1	0
87	chrIII	194276	194426	194351				1	0	0
88	chrIII	197449	197599	197524				1	0	0
89	chrIII	205697	205847	205772				0	0	0
90	chrIII	224809	224959	224884	224805	224955	224880.0	1	1	0
91	chrIII	232947	233097	233022				0	0	0
92	chrIII	248787	248937	248862				0	0	0
93	chrIII	272899	273049	272974				1	0	1
94	chrIII	292565	292715	292640				1	0	1
95	chrIII	294799	294949	294874				1	0	1
96	chrIII	306646	306796	306721				0	0	0
97	chrIV	8413	8563	8488				0	0	0
98	chrIV	15509	15659	15584				1	0	0
99	chrIV	21689	21839	21764				0	0	0
100	chrIV	46071	46221	46146				1	0	1
101	chrIV	65847	65997	65922				0	0	0
102	chrIV	85845	85995	85920				1	0	1
103	chrIV	95765	95915	95840				0	0	0
104	chrIV	101024	101174	101099				0	0	0
105	chrIV	123643	123793	123718				1	1	0
106	chrIV	137544	137694	137619				0	0	0
107	chrIV	157964	158114	158039				0	0	0
108	chrIV	169637	169787	169712				0	0	0
109	chrIV	212481	212631	212556				1	1	0
110	chrIV	228981	229131	229056				0	0	0
111	chrIV	232129	232279	232204				0	0	0
112	chrIV	235957	236107	236032				1	0	0
113	chrIV	253789	253939	253864				1	0	1
114	chrIV	316828	316978	316903				1	0	0
115	chrIV	329633	329783	329708	329629	329779	329704.0	1	1	0
116	chrIV	351204	351354	351279				0	0	0
117	chrIV	358884	359034	358959				0	0	0
118	chrIV	386283	386433	386358				0	0	0
119	chrIV	400747	400897	400822				0	0	0
120	chrIV	408058	408208	408133	408066	408216	408141.0	1	1	0
121	chrIV	435096	435246	435171	435063	435213	435138.0	1	1	0
122	chrIV	443811	443961	443886	444267	444417	444342.0	0	0	0
123	chrIV	446585	446735	446660	446601	446751	446676.0	0	0	0
124	chrIV	462491	462641	462566	462509	462659	462584.0	1	1	0
125	chrIV	476568	476718	476643	476451	476601	476526.0	0	0	0
126	chrIV	483893	484043	483968	483910	484060	483985.0	1	1	0
127	chrIV	505417	505567	505492				1	1	0
128	chrIV	513221	513371	513296				0	0	0
129	chrIV	521559	521709	521634				0	0	0
130	chrIV	544779	544929	544854				0	0	0
131	chrIV	555302	555452	555377	555518	555668	555593.0	1	1	0
132	chrIV	567577	567727	567652	567557	567707	567632.0	1	0	0
133	chrIV	602105	602255	602180				0	0	0
134	chrIV	629277	629427	629352				1	0	1
135	chrIV	639973	640123	640048				1	0	1
136	chrIV	702909	703059	702984				1	0	1
137	chrIV	720798	720948	720873				0	0	0
138	chrIV	748517	748667	748592				1	0	1
139	chrIV	753209	753359	753284				1	0	1
140	chrIV	805979	806129	806054				1	0	1
141	chrIV	845089	845239	845164				0	0	0
142	chrIV	878029	878179	878104	878002	878152	878077.0	0	0	0
143	chrIV	888939	889089	889014				0	0	0
144	chrIV	898479	898629	898554				0	0	0
145	chrIV	899245	899395	899320				1	0	0
146	chrIV	913827	913977	913902	914080	914230	914155.0	1	1	0
147	chrIV	921725	921875	921800				1	0	0
148	chrIV	937562	937712	937637				0	0	0
149	chrIV	943478	943628	943553				0	0	0
150	chrIV	980079	980229	980154	981311	981461	981386.0	0	0	0
151	chrIV	1016703	1016853	1016778				1	1	0
152	chrIV	1021741	1021891	1021816				0	0	0
153	chrIV	1033310	1033460	1033385				0	0	0
154	chrIV	1057787	1057937	1057862				1	1	0
155	chrIV	1077815	1077965	1077890				0	0	0
156	chrIV	1109953	1110103	1110028				1	0	1
157	chrIV	1130879	1131029	1130954				0	0	0
158	chrIV	1149507	1149657	1149582				0	0	0
159	chrIV	1150981	1151131	1151056				0	0	0
160	chrIV	1159291	1159441	1159366	1159297	1159447	1159372.0	1	1	0
161	chrIV	1166031	1166181	1166106	1166097	1166247	1166172.0	1	1	0
162	chrIV	1201499	1201649	1201574				0	0	0
163	chrIV	1213591	1213741	1213666				0	0	0
164	chrIV	1240779	1240929	1240854				1	0	1
165	chrIV	1266199	1266349	1266274				0	0	0
166	chrIV	1276211	1276361	1276286				1	0	1
167	chrIV	1302633	1302783	1302708				1	0	1
168	chrIV	1339459	1339609	1339534				0	0	0
169	chrIV	1353493	1353643	1353568				0	0	0
170	chrIV	1379619	1379769	1379694				1	0	1
171	chrIV	1385504	1385654	1385579				0	0	0
172	chrIV	1404291	1404441	1404366				1	0	1
173	chrIV	1447376	1447526	1447451				0	0	0
174	chrIV	1462015	1462165	1462090				1	0	1
175	chrIV	1486871	1487021	1486946				1	0	1
176	chrIV	1502651	1502801	1502726				0	0	0
177	chrIV	1524591	1524741	1524666				0	0	0
178	chrIV	1525569	1525719	1525644				0	0	0
179	chrV	6367	6517	6442				1	0	0
180	chrV	11822	11972	11897				0	0	0
181	chrV	18340	18490	18415				0	0	0
182	chrV	59342	59492	59417	59377	59527	59452.0	1	1	0
183	chrV	94010	94160	94085	94021	94171	94096.0	1	1	0
184	chrV	102394	102544	102469	101571	101721	101646.0	0	0	0
185	chrV	109875	110025	109950	111153	111303	111228.0	0	0	0
186	chrV	145596	145746	145671	145594	145744	145669.0	1	1	0
187	chrV	164397	164547	164472	164402	164552	164477.0	0	0	0
188	chrV	173727	173877	173802	173345	173495	173420.0	1	1	0
189	chrV	184332	184482	184407				0	0	0
190	chrV	192638	192788	192713				0	0	0
191	chrV	212390	212540	212465				1	0	1
192	chrV	221711	221861	221786				0	0	0
193	chrV	232223	232373	232298				0	0	0
194	chrV	241493	241643	241568				0	0	0
195	chrV	256109	256259	256184				0	0	0
196	chrV	276189	276339	276264				1	0	0
197	chrV	278044	278194	278119				1	0	0
198	chrV	287583	287733	287658				1	1	0
199	chrV	301665	301815	301740				0	0	0
200	chrV	316563	316713	316638				1	0	0
201	chrV	339525	339675	339600				0	0	0
202	chrV	353558	353708	353633	353547	353697	353622.0	1	1	0
203	chrV	373195	373345	373270				0	0	0
204	chrV	386641	386791	386716				0	0	0
205	chrV	406836	406986	406911				1	1	0
206	chrV	430827	430977	430902				0	0	0
207	chrV	438944	439094	439019	438975	439125	439050.0	1	1	0
208	chrV	498873	499023	498948				1	1	0
209	chrV	520871	521021	520946				1	0	0
210	chrV	549543	549693	549618				1	0	1
211	chrV	569555	569705	569630				1	0	1
212	chrV	570394	570544	570469				0	0	0
213	chrVI	5406	5556	5481	4664	4814	4739.0	1	0	0
214	chrVI	8059	8209	8134				0	0	0
215	chrVI	12769	12919	12844				0	0	0
216	chrVI	19014	19164	19089				0	0	0
217	chrVI	20675	20825	20750				1	0	0
218	chrVI	32755	32905	32830				1	0	1
219	chrVI	42636	42786	42711				0	0	0
220	chrVI	45569	45719	45644				0	0	0
221	chrVI	52608	52758	52683				0	0	0
222	chrVI	58066	58216	58141				0	0	0
223	chrVI	62861	63011	62936				0	0	0
224	chrVI	68789	68939	68864				1	0	1
225	chrVI	84123	84273	84198				0	0	0
226	chrVI	100750	100900	100825				0	0	0
227	chrVI	104427	104577	104502				1	0	0
228	chrVI	118622	118772	118697	118606	118756	118681.0	1	1	0
229	chrVI	127992	128142	128067				1	0	1
230	chrVI	135905	136055	135980	135912	136062	135987.0	1	1	0
231	chrVI	148917	149067	148992	149821	149971	149896.0	0	0	0
232	chrVI	167611	167761	167686	167606	167756	167681.0	1	1	0
233	chrVI	199367	199517	199442	199027	199177	199102.0	1	1	0
234	chrVI	205168	205318	205243				0	0	0
235	chrVI	216436	216586	216511	216441	216591	216516.0	1	0	0
236	chrVI	256410	256560	256485				1	0	1
237	chrVI	262255	262405	262330				0	0	0
238	chrVII	2540	2690	2615				0	0	0
239	chrVII	7811	7961	7886				0	0	0
240	chrVII	17772	17922	17847				0	0	0
241	chrVII	32854	33004	32929				0	0	0
242	chrVII	43233	43383	43308				0	0	0
243	chrVII	64231	64381	64306				1	0	1
244	chrVII	89871	90021	89946				0	0	0
245	chrVII	91279	91429	91354				0	0	0
246	chrVII	112103	112253	112178	111057	111207	111132.0	1	0	1
247	chrVII	114777	114927	114852				0	0	0
248	chrVII	117593	117743	117668				1	0	1
249	chrVII	163170	163320	163245				1	1	0
250	chrVII	171168	171318	171243				0	0	0
251	chrVII	187319	187469	187394				1	0	0
252	chrVII	203957	204107	204032	203888	204038	203963.0	1	1	0
253	chrVII	220853	221003	220928				0	0	0
254	chrVII	232292	232442	232367				0	0	0
255	chrVII	241116	241266	241191				1	0	0
256	chrVII	248403	248553	248478				0	0	0
257	chrVII	265923	266073	265998				0	0	0
258	chrVII	274576	274726	274651				0	0	0
259	chrVII	285967	286117	286042				1	1	0
260	chrVII	313047	313197	313122				0	0	0
261	chrVII	318759	318909	318834				0	0	0
262	chrVII	324255	324405	324330				0	0	0
263	chrVII	341863	342013	341938				0	0	0
264	chrVII	352783	352933	352858				1	0	1
265	chrVII	388735	388885	388810	388789	388939	388864.0	1	1	0
266	chrVII	402005	402155	402080	402007	402157	402082.0	0	0	0
267	chrVII	421163	421313	421238	421210	421360	421285.0	1	1	0
268	chrVII	435149	435299	435224				0	0	0
269	chrVII	464969	465119	465044	465547	465697	465622.0	0	0	0
270	chrVII	484908	485058	484983	484880	485030	484955.0	1	1	0
271	chrVII	508807	508957	508882	508797	508947	508872.0	1	1	0
272	chrVII	552187	552337	552262				0	0	0
273	chrVII	553879	554029	553954				0	0	0
274	chrVII	561361	561511	561436				0	0	0
275	chrVII	568535	568685	568610	568522	568672	568597.0	1	0	0
276	chrVII	574635	574785	574710				1	1	0
277	chrVII	591924	592074	591999				0	0	0
278	chrVII	607481	607631	607556				0	0	0
279	chrVII	608440	608590	608515				0	0	0
280	chrVII	620697	620847	620772				0	0	0
281	chrVII	621987	622137	622062				0	0	0
282	chrVII	631202	631352	631277				0	0	0
283	chrVII	635595	635745	635670				0	0	0
284	chrVII	636853	637003	636928				0	0	0
285	chrVII	653714	653864	653789				0	0	0
286	chrVII	659901	660051	659976				1	1	0
287	chrVII	698413	698563	698488				0	0	0
288	chrVII	705525	705675	705600				0	0	0
289	chrVII	715237	715387	715312	715032	715182	715107.0	1	1	0
290	chrVII	727871	728021	727946				0	0	0
291	chrVII	735246	735396	735321	736037	736187	736112.0	0	0	0
292	chrVII	735815	735965	735890	736037	736187	736112.0	0	0	0
293	chrVII	765607	765757	765682				0	0	0
294	chrVII	777972	778122	778047	778025	778175	778100.0	1	1	0
295	chrVII	796032	796182	796107				0	0	0
296	chrVII	800494	800644	800569				0	0	0
297	chrVII	808237	808387	808312				0	0	0
298	chrVII	834503	834653	834578	834506	834656	834581.0	1	1	0
299	chrVII	846633	846783	846708				0	0	0
300	chrVII	870017	870167	870092				0	0	0
301	chrVII	879442	879592	879517	878245	878395	878320.0	0	0	0
302	chrVII	888359	888509	888434	888583	888733	888658.0	1	1	0
303	chrVII	916905	917055	916980				0	0	0
304	chrVII	924517	924667	924592				0	0	0
305	chrVII	931719	931869	931794				0	0	0
306	chrVII	942498	942648	942573				0	0	0
307	chrVII	944795	944945	944870				0	0	0
308	chrVII	963025	963175	963100				0	0	0
309	chrVII	970271	970421	970346				0	0	0
310	chrVII	977761	977911	977836				1	0	1
311	chrVII	990755	990905	990830				0	0	0
312	chrVII	999448	999598	999523				1	0	1
313	chrVII	1004595	1004745	1004670				0	0	0
314	chrVII	1011801	1011951	1011876				0	0	0
315	chrVII	1039275	1039425	1039350				0	0	0
316	chrVII	1063499	1063649	1063574				0	0	0
317	chrVII	1073723	1073873	1073798				0	0	0
318	chrVII	1083595	1083745	1083670				1	0	1
319	chrVII	1084421	1084571	1084496				1	0	1
320	chrVIII	5365	5515	5440				1	0	0
321	chrVIII	7687	7837	7762				1	0	0
322	chrVIII	45697	45847	45772				0	0	0
323	chrVIII	56482	56632	56557				0	0	0
324	chrVIII	57290	57440	57365				0	0	0
325	chrVIII	58819	58969	58894				0	0	0
326	chrVIII	64270	64420	64345	64267	64417	64342.0	1	1	0
327	chrVIII	78613	78763	78688				0	0	0
328	chrVIII	87571	87721	87646				0	0	0
329	chrVIII	94781	94931	94856				0	0	0
330	chrVIII	111342	111492	111417	111346	111496	111421.0	0	0	0
331	chrVIII	116366	116516	116441	116363	116513	116438.0	1	1	0
332	chrVIII	133371	133521	133446	133382	133532	133457.0	1	1	0
333	chrVIII	141509	141659	141584				0	0	0
334	chrVIII	168563	168713	168638				1	0	1
335	chrVIII	193684	193834	193759				0	0	0
336	chrVIII	198460	198610	198535				0	0	0
337	chrVIII	213081	213231	213156				1	0	0
338	chrVIII	215079	215229	215154				1	0	0
339	chrVIII	245727	245877	245802				1	0	1
340	chrVIII	262083	262233	262158				0	0	0
341	chrVIII	279992	280142	280067				0	0	0
342	chrVIII	288929	289079	289004				0	0	0
343	chrVIII	297061	297211	297136	297143	297293	297218.0	1	1	0
344	chrVIII	349355	349505	349430				0	0	0
345	chrVIII	359569	359719	359644				0	0	0
346	chrVIII	380877	381027	380952				0	0	0
347	chrVIII	392147	392297	392222				1	0	0
348	chrVIII	413447	413597	413522				0	0	0
349	chrVIII	447666	447816	447741	448050	448200	448125.0	1	1	0
350	chrVIII	468069	468219	468144				0	0	0
351	chrVIII	474479	474629	474554				0	0	0
352	chrVIII	501846	501996	501921				1	0	0
353	chrVIII	520340	520490	520415				0	0	0
354	chrVIII	528627	528777	528702				0	0	0
355	chrVIII	535584	535734	535659	535556	535706	535631.0	0	0	0
356	chrVIII	550594	550744	550669				0	0	0
357	chrVIII	553507	553657	553582				0	0	0
358	chrVIII	556083	556233	556158	556819	556969	556894.0	1	0	0
359	chrIX	6767	6917	6842				0	0	0
360	chrIX	7655	7805	7730				1	0	0
361	chrIX	16491	16641	16566				1	0	0
362	chrIX	30449	30599	30524				0	0	0
363	chrIX	33447	33597	33522				0	0	0
364	chrIX	47532	47682	47607				0	0	0
365	chrIX	51285	51435	51360				0	0	0
366	chrIX	73909	74059	73984				1	0	1
367	chrIX	80187	80337	80262				0	0	0
368	chrIX	105841	105991	105916	105852	106002	105927.0	1	1	0
369	chrIX	125968	126118	126043				0	0	0
370	chrIX	136177	136327	136252				1	0	1
371	chrIX	162987	163137	163062				0	0	0
372	chrIX	175211	175361	175286				1	0	0
373	chrIX	189865	190015	189940				0	0	0
374	chrIX	190865	191015	190940				0	0	0
375	chrIX	196723	196873	196798	197648	197798	197723.0	0	0	0
376	chrIX	200175	200325	200250				0	0	0
377	chrIX	214744	214894	214819	214761	214911	214836.0	1	1	0
378	chrIX	225244	225394	225319	226350	226500	226425.0	0	0	0
379	chrIX	226721	226871	226796	226350	226500	226425.0	0	0	0
380	chrIX	237809	237959	237884				0	0	0
381	chrIX	245834	245984	245909				1	0	0
382	chrIX	247701	247851	247776	247684	247834	247759.0	1	1	0
383	chrIX	279883	280033	279958				0	0	0
384	chrIX	295823	295973	295898				0	0	0
385	chrIX	310611	310761	310686	310866	311016	310941.0	0	0	0
386	chrIX	325205	325355	325280				0	0	0
387	chrIX	341881	342031	341956	341884	342034	341959.0	1	1	0
388	chrIX	357149	357299	357224	357182	357332	357257.0	1	1	0
389	chrIX	406399	406549	406474				0	0	0
390	chrIX	411883	412033	411958	412146	412296	412221.0	1	1	0
391	chrIX	432595	432745	432670				0	0	0
392	chrX	6759	6909	6834				0	0	0
393	chrX	7636	7786	7711				1	0	0
394	chrX	16475	16625	16550				1	0	0
395	chrX	23825	23975	23900				1	0	0
396	chrX	67611	67761	67686				1	1	0
397	chrX	99392	99542	99467				1	1	0
398	chrX	113567	113717	113642				1	0	0
399	chrX	161709	161859	161784				0	0	0
400	chrX	199529	199679	199604				0	0	0
401	chrX	204410	204560	204485	204409	204559	204484.0	1	1	0
402	chrX	223493	223643	223568				0	0	0
403	chrX	228767	228917	228842				1	1	0
404	chrX	248911	249061	248986				0	0	0
405	chrX	267213	267363	267288				0	0	0
406	chrX	269687	269837	269762				0	0	0
407	chrX	298963	299113	299038				1	0	0
408	chrX	324771	324921	324846				0	0	0
409	chrX	337220	337370	337295				1	0	1
410	chrX	353750	353900	353825	354862	355012	354937.0	0	0	0
411	chrX	354431	354581	354506	355682	355832	355757.0	0	0	0
412	chrX	374919	375069	374994	374937	375087	375012.0	1	1	0
413	chrX	376543	376693	376618	376106	376256	376181.0	0	0	0
414	chrX	409231	409381	409306				0	0	0
415	chrX	417277	417427	417352	416910	417060	416985.0	1	1	0
416	chrX	442521	442671	442596	442524	442674	442599.0	1	1	0
417	chrX	455202	455352	455277				1	0	0
418	chrX	459601	459751	459676	459608	459758	459683.0	1	0	0
419	chrX	540509	540659	540584	540502	540652	540577.0	1	1	0
420	chrX	579941	580091	580016				0	0	0
421	chrX	609466	609616	609541				0	0	0
422	chrX	613030	613180	613105	613030	613180	613105.0	1	1	0
423	chrX	628321	628471	628396				0	0	0
424	chrX	644153	644303	644228	644154	644304	644229.0	0	0	0
425	chrX	654471	654621	654546	654258	654408	654333.0	1	0	0
426	chrX	683973	684123	684048	684335	684485	684410.0	1	1	0
427	chrX	711869	712019	711944				1	0	0
428	chrX	730107	730257	730182				1	0	1
429	chrX	737190	737340	737265				1	0	1
430	chrXI	8209	8359	8284				1	0	1
431	chrXI	26427	26577	26502				0	0	0
432	chrXI	30751	30901	30826				0	0	0
433	chrXI	42244	42394	42319				0	0	0
434	chrXI	55753	55903	55828	55768	55918	55843.0	1	1	0
435	chrXI	79845	79995	79920				0	0	0
436	chrXI	88981	89131	89056				1	0	0
437	chrXI	98352	98502	98427				1	0	1
438	chrXI	113672	113822	113747				0	0	0
439	chrXI	145540	145690	145615				0	0	0
440	chrXI	152970	153120	153045				1	1	0
441	chrXI	168839	168989	168914				0	0	0
442	chrXI	191509	191659	191584				0	0	0
443	chrXI	196056	196206	196131				1	0	0
444	chrXI	200241	200391	200316				0	0	0
445	chrXI	213530	213680	213605				1	1	0
446	chrXI	236189	236339	236264				0	0	0
447	chrXI	257881	258031	257956				0	0	0
448	chrXI	302603	302753	302678	302600	302750	302675.0	0	0	0
449	chrXI	323119	323269	323194				0	0	0
450	chrXI	329727	329877	329802	329957	330107	330032.0	1	1	0
451	chrXI	344661	344811	344736				0	0	0
452	chrXI	374177	374327	374252				0	0	0
453	chrXI	389030	389180	389105	389069	389219	389144.0	1	0	1
454	chrXI	417184	417334	417259	417119	417269	417194.0	1	1	0
455	chrXI	427053	427203	427128				0	0	0
456	chrXI	448041	448191	448116	448070	448220	448145.0	1	1	0
457	chrXI	454152	454302	454227				0	0	0
458	chrXI	457503	457653	457578	457482	457632	457557.0	0	0	0
459	chrXI	462781	462931	462856	462787	462937	462862.0	1	0	0
460	chrXI	468813	468963	468888				0	0	0
461	chrXI	491204	491354	491279				0	0	0
462	chrXI	501051	501201	501126				0	0	0
463	chrXI	516673	516823	516748	516960	517110	517035.5	0	0	0
464	chrXI	530567	530717	530642				0	0	0
465	chrXI	581833	581983	581908				1	0	1
466	chrXI	612305	612455	612380				1	0	1
467	chrXI	633117	633267	633192				0	0	0
468	chrXI	633581	633731	633656				0	0	0
469	chrXI	642722	642872	642797				1	0	1
470	chrXI	658557	658707	658632				0	0	0
471	chrXI	664970	665120	665045				0	0	0
472	chrXII	5886	6036	5961				0	0	0
473	chrXII	10942	11092	11017				0	0	0
474	chrXII	11955	12105	12030				0	0	0
475	chrXII	31707	31857	31782				0	0	0
476	chrXII	52067	52217	52142				0	0	0
477	chrXII	76854	77004	76929				0	0	0
478	chrXII	91416	91566	91491	91403	91553	91478.0	1	1	0
479	chrXII	93359	93509	93434				0	0	0
480	chrXII	139685	139835	139760	139690	139840	139765.0	0	0	0
481	chrXII	151175	151325	151250	151177	151327	151252.0	1	1	0
482	chrXII	156643	156793	156718	156393	156543	156468.0	1	1	0
483	chrXII	171181	171331	171256				0	0	0
484	chrXII	198263	198413	198338				0	0	0
485	chrXII	222429	222579	222504				1	0	0
486	chrXII	231251	231401	231326	231505	231655	231580.0	1	1	0
487	chrXII	243615	243765	243690				0	0	0
488	chrXII	289285	289435	289360				1	0	1
489	chrXII	336063	336213	336138				0	0	0
490	chrXII	343797	343947	343872				1	0	0
491	chrXII	365549	365699	365624				0	0	0
492	chrXII	373209	373359	373284	373159	373309	373234.0	1	1	0
493	chrXII	412708	412858	412783	412709	412859	412784.0	1	1	0
494	chrXII	426673	426823	426748				0	0	0
495	chrXII	450499	450649	450574				1	1	0
496	chrXII	494448	494598	494523				0	0	0
497	chrXII	512975	513125	513050	513001	513151	513076.0	1	1	0
498	chrXII	530616	530766	530691				0	0	0
499	chrXII	537065	537215	537140				0	0	0
500	chrXII	587553	587703	587628				0	0	0
501	chrXII	591625	591775	591700				0	0	0
502	chrXII	599008	599158	599083				0	0	0
503	chrXII	602898	603048	602973	603239	603389	603314.0	1	1	0
504	chrXII	607147	607297	607222				0	0	0
505	chrXII	622812	622962	622887				0	0	0
506	chrXII	644271	644421	644346				0	0	0
507	chrXII	645045	645195	645120				0	0	0
508	chrXII	659857	660007	659932	659844	659994	659919.0	1	1	0
509	chrXII	687633	687783	687708	687267	687417	687342.0	0	0	0
510	chrXII	688537	688687	688612	687267	687417	687342.0	0	0	0
511	chrXII	718005	718155	718080				0	0	0
512	chrXII	730505	730655	730580				0	0	0
513	chrXII	744969	745119	745044	744997	745147	745072.0	1	1	0
514	chrXII	780717	780867	780792				0	0	0
515	chrXII	786247	786397	786322				0	0	0
516	chrXII	794170	794320	794245	794129	794279	794204.0	1	1	0
517	chrXII	822059	822209	822134				0	0	0
518	chrXII	851991	852141	852066				0	0	0
519	chrXII	868503	868653	868578				0	0	0
520	chrXII	888613	888763	888688				1	0	1
521	chrXII	906867	907017	906942				0	0	0
522	chrXII	914941	915091	915016				0	0	0
523	chrXII	928170	928320	928245				0	0	0
524	chrXII	947973	948123	948048				0	0	0
525	chrXII	975493	975643	975568				0	0	0
526	chrXII	982811	982961	982886				0	0	0
527	chrXII	1007197	1007347	1007272				1	0	1
528	chrXII	1013728	1013878	1013803				1	0	0
529	chrXII	1024038	1024188	1024113				1	0	1
530	chrXII	1043595	1043745	1043670				0	0	0
531	chrXII	1059557	1059707	1059632				1	0	1
532	chrXII	1064244	1064394	1064319	1065103	1065253	1065178.5	0	0	0
533	chrXII	1065203	1065353	1065278	1065103	1065253	1065178.5	0	0	0
534	chrXII	1071308	1071458	1071383				0	0	0
535	chrXIII	5327	5477	5402				0	0	0
536	chrXIII	6203	6353	6278				0	0	0
537	chrXIII	31673	31823	31748	31689	31839	31764.0	1	1	0
538	chrXIII	39881	40031	39956				1	0	0
539	chrXIII	44938	45088	45013				0	0	0
540	chrXIII	49801	49951	49876				0	0	0
541	chrXIII	73928	74078	74003				0	0	0
542	chrXIII	94261	94411	94336				1	0	1
543	chrXIII	137293	137443	137368	137292	137442	137367.0	1	1	0
544	chrXIII	159001	159151	159076				1	0	0
545	chrXIII	165353	165503	165428				0	0	0
546	chrXIII	183725	183875	183800	183748	183898	183823.0	1	1	0
547	chrXIII	205481	205631	205556				0	0	0
548	chrXIII	226784	226934	226859	226796	226946	226871.0	0	0	0
549	chrXIII	234481	234631	234556				0	0	0
550	chrXIII	263107	263257	263182	263159	263309	263234.0	1	1	0
551	chrXIII	268785	268935	268860	268758	268908	268833.0	0	0	0
552	chrXIII	286715	286865	286790	286741	286891	286816.0	1	1	0
553	chrXIII	295013	295163	295088				0	0	0
554	chrXIII	331939	332089	332014				0	0	0
555	chrXIII	339635	339785	339710				0	0	0
556	chrXIII	341709	341859	341784				0	0	0
557	chrXIII	371013	371163	371088	370612	370762	370687.0	1	1	0
558	chrXIII	394814	394964	394889				0	0	0
559	chrXIII	417611	417761	417686				0	0	0
560	chrXIII	421061	421211	421136				0	0	0
