,chr,ARS_name,ARS_left,ARS_right,ARS_len,ARS_center,promoter,origin_activity_early,origin_activity_late,Trep_Yabuki2002,Early_late_Yabuki2002,Any_timing_study,Sld3_unsync_bound,Sld3_unsync_signal,MCM_unsync_bound,MCM_unsync_signal,Sld3_G1_bound,Sld3_G1_signal
48,chrIII,ARS315,224816,225061,245,224938,no,14.11307697,12.72951958,24.2,early,yes,yes,9679.72,yes,2121649.74,yes,38.77
49,chrIII,ARS316,272852,273095,243,272974,yes,0.078648336,1.135465987,30.1,late,yes,no,,yes,502453.17,no,
50,chrIII,ARS317,292638,292694,56,292666,no,0.056321261,0.072271948,31.1,late,yes,no,,yes,588902.89,no,
51,chrIII,ARS318,294820,294901,81,294860,no,0.07349371,0.29609527,31.1,late,yes,no,,yes,174533.84,no,
55,chrIV,ARS404,46185,46237,52,46211,no,0.23352621,3.893887823,27.4,late,yes,yes,3796.2,yes,649218.04,no,
56,chrIV,ARS405,85945,86176,231,86060,no,0.096828974,1.412065069,29.6,late,yes,no,,yes,937065.8,no,
57,chrIV,ARS406,123617,123901,284,123759,no,0.193847568,5.614275732,24.7,early,yes,no,,yes,274589.96,no,
58,chrIV,ARS409,212519,212618,99,212568,yes,0.106171416,3.713655013,25.2,early,yes,no,,yes,530838.42,no,
60,chrIV,ARS410,253791,254039,248,253915,no,0.090524172,1.322355517,28.6,late,yes,no,,yes,776050.5,no,
61,chrIV,ARS411,256530,256633,103,256582,no,0.06297999,0.890453773,28.6,late,yes,no,,no,,no,
63,chrIV,ARS413,329566,329814,248,329690,no,2.841972953,9.684707345,22.0,early,yes,no,,yes,675670.09,no,
64,chrIV,ARS414,408075,408316,241,408196,no,2.152615572,8.664606327,21.8,early,yes,no,,yes,223905.58,no,
65,chrIV,ARS415,434971,435320,349,435146,no,11.95307198,10.65944312,21.4,early,yes,yes,6948.93,yes,272358.22,yes,325.62
66,chrIV,ARS416,462567,462622,55,462594,no,12.48793029,14.71833387,21.3,early,yes,yes,10265.21,yes,902204.94,yes,284.74
67,chrIV,ARS417,484006,484059,53,484032,yes,1.803433693,8.831529271,22.7,early,yes,yes,4163.27,yes,313769.71,no,
68,chrIV,ARS450,505343,505584,241,505464,no,0.446925718,6.120680732,21.5,early,yes,no,,yes,495860.44,no,
69,chrIV,ARS418,555240,555404,164,555322,no,13.3546582,12.79735632,17.9,early,yes,yes,5200.83,yes,299665.08,yes,212.78
71,chrIV,ARS420,628938,629582,644,629260,no,0.085700755,1.186366325,28.7,late,yes,no,,yes,369187.19,no,
72,chrIV,ARS421,640006,640072,66,640039,no,0.082728031,2.001759901,29.6,late,yes,no,,yes,816440.94,no,
73,chrIV,ARS422,702887,703132,245,703010,yes,0.082628388,1.663172764,28.6,late,yes,no,,yes,783573.41,no,
74,chrIV,ARS451,748392,748637,245,748514,no,0.084290452,1.353550839,28.2,late,yes,no,,no,,no,
75,chrIV,ARS423,753242,753386,144,753314,no,0.069007477,1.568856154,28.2,late,yes,no,,yes,824525.77,no,
76,chrIV,ARS425,806052,806277,225,806164,yes,0.120695202,1.41211356,30.5,late,yes,no,,yes,664669.12,no,
78,chrIV,ARS428,913790,914038,248,913914,no,14.18458141,11.05140771,17.8,early,yes,yes,10084.22,yes,369554.84,yes,299.1
80,chrIV,ARS430,1016670,1016911,241,1016790,no,1.772322987,7.332660892,21.2,early,yes,no,,yes,559576.91,no,
81,chrIV,ARS431,1057841,1057951,110,1057896,no,0.143555398,3.724712651,24.4,early,yes,no,,yes,605979.12,no,
82,chrIV,ARS452,1109964,1110204,240,1110084,yes,0.06158054,0.728221993,28.4,late,yes,no,,yes,455868.37,no,
83,chrIV,ARS432,1159262,1159510,248,1159386,no,8.185147552,8.53855599,17.0,early,yes,no,,yes,415970.72,yes,190.57
84,chrIV,ARS453,1166067,1166212,145,1166140,no,9.732872552,10.88220859,17.0,early,yes,no,,yes,496489.54,yes,140.46
85,chrIV,ARS433,1240882,1241110,228,1240996,yes,0.089881255,1.770859215,28.4,late,yes,no,,yes,785435.47,no,
86,chrIV,ARS434,1276225,1276452,227,1276338,no,0.090458375,1.433163403,28.7,late,yes,no,,yes,806014.21,no,
87,chrIV,ARS435,1302689,1302768,79,1302728,yes,0.077312081,2.658814548,27.0,late,yes,no,,yes,640207.68,no,
88,chrIV,ARS436,1305757,1306312,555,1306034,yes,0.065159656,2.044500947,27.0,late,yes,no,,no,,no,
89,chrIV,ARS439,1379641,1380100,459,1379870,no,0.072870476,0.900415406,28.8,late,yes,no,,yes,81256.79,no,
90,chrIV,ARS440,1404290,1404524,234,1404407,no,0.096226816,1.56599758,30.0,late,yes,no,,yes,629904.54,no,
91,chrIV,ARS442,1454509,1455087,578,1454798,yes,0.074502983,1.915285512,25.9,late,yes,yes,3611.87,no,,no,
92,chrIV,ARS443,1461862,1462173,311,1462018,yes,0.210153133,4.166942637,25.9,late,yes,no,,yes,1005246.11,no,
93,chrIV,ARS446,1486918,1487161,243,1487040,yes,0.096411758,1.400976219,28.6,late,yes,no,,yes,457868.06,no,
97,chrV,ARS507,59338,59477,139,59408,no,6.030390734,12.22033482,20.2,early,yes,yes,4943.69,yes,252106.01,no,
98,chrV,ARS508,93978,94218,240,94098,yes,15.47360773,11.8450649,19.6,early,yes,no,,yes,239559.78,yes,375.91
99,chrV,ARS510,145678,145840,162,145759,no,14.87796493,12.14896103,22.4,early,yes,yes,21013.73,yes,530939.3,yes,704.83
100,chrV,ARS511,173700,173864,164,173782,yes,12.29065796,10.82744813,19.8,early,yes,yes,11654.23,yes,298776.32,yes,271.27
101,chrV,ARS512,212383,212631,248,212507,no,0.204470241,4.856584372,27.8,late,yes,no,,yes,265327.7,no,
105,chrV,ARS514,287552,287629,77,287590,yes,1.093505061,6.721920301,22.4,early,yes,no,,yes,590948.44,no,
107,chrV,ARS516,353578,353636,58,353607,no,5.338723079,11.36997876,19.7,early,yes,no,,yes,641040.54,no,
108,chrV,ARS517,406752,406953,201,406852,no,0.602931443,5.857758119,24.6,early,yes,no,,yes,680284.99,no,
109,chrV,ARS518,438934,439182,248,439058,yes,1.927967345,8.284417791,20.6,early,yes,no,,yes,811602.46,no,
110,chrV,ARS519,442416,442735,319,442576,no,0.188489493,6.568572171,27.4,late,yes,no,,no,,no,
111,chrV,ARS520,498884,499182,298,499033,no,2.368724951,9.869641232,24.4,early,yes,no,,yes,493525.03,no,
113,chrV,ARS522,549566,549814,248,549690,no,0.08405951,2.285861549,28.8,late,yes,no,,yes,361736.23,no,
114,chrV,ARS523,569618,569695,77,569656,no,1.505156004,11.09232234,30.1,late,yes,no,,yes,798877.67,no,
117,chrVI,ARS601,32473,32995,522,32734,no,0.066441952,0.577061456,32.1,late,yes,no,,yes,673965.4,no,
118,chrVI,ARS602,32667,33247,580,32957,no,0.07151884,0.585051299,32.1,late,yes,no,,yes,673965.4,no,
119,chrVI,ARS603,68759,68861,102,68810,no,0.098955989,1.26234106,30.0,late,yes,no,,yes,762378.83,no,
121,chrVI,ARS603.3,118637,118957,320,118797,no,4.315812323,10.40165531,21.9,early,yes,no,,yes,429432.44,no,
122,chrVI,ARS604,127751,128071,320,127911,no,0.259608733,8.540820374,26.8,late,yes,no,,yes,15234.83,no,
123,chrVI,ARS605,135985,136085,100,136035,yes,8.995839062,10.01008673,20.4,early,yes,yes,7884.55,yes,579998.26,yes,73.07
124,chrVI,ARS606,167547,167801,254,167674,yes,14.18654104,15.23342649,20.7,early,yes,yes,9328.38,yes,254557.64,yes,193.06
125,chrVI,ARS607,199395,199505,110,199450,yes,17.59587913,12.20323561,20.4,early,yes,yes,30086.49,yes,199355.39,yes,1056.36
127,chrVI,ARS609,256277,256431,154,256354,no,0.099924994,1.022382748,31.8,late,yes,no,,yes,347546.94,no,
129,chrVII,ARS702,64360,64464,104,64412,yes,0.077516814,2.132755845,25.3,late,yes,no,,yes,916493.04,no,
130,chrVII,ARS704,112079,112317,238,112198,yes,0.103653277,1.376516563,28.1,late,yes,no,,yes,635081.67,no,
131,chrVII,ARS706,117561,117854,293,117708,no,0.081288814,0.896396225,28.1,late,yes,no,,yes,21183.03,no,
132,chrVII,ARS707,163218,163318,100,163268,no,0.203693627,4.141062486,23.9,early,yes,no,,yes,443330.63,no,
134,chrVII,ARS710,203914,204155,241,204034,no,2.483609497,6.242341354,21.9,early,yes,no,,yes,213828.87,no,
137,chrVII,ARS714,285991,286081,90,286036,no,2.633516387,10.15015062,20.5,early,yes,no,,yes,387276.74,no,
139,chrVII,ARS716,352760,352906,146,352833,yes,0.11143094,2.452825886,28.2,late,yes,no,,yes,604725.39,no,
140,chrVII,ARS717,388658,388891,233,388774,no,1.138712427,7.664226075,24.1,early,yes,no,,yes,60749.25,no,
141,chrVII,ARS718,421171,421279,108,421225,no,9.462143325,10.58646923,23.2,early,yes,no,,yes,515726.92,no,
142,chrVII,ARS719,484930,485157,227,485044,yes,13.19101424,12.60039152,19.5,early,yes,yes,9306.31,yes,505345.78,yes,325.32
143,chrVII,ARS720,508729,508977,248,508853,yes,13.12048543,13.15555246,19.9,early,yes,yes,10398.86,yes,292787.98,yes,248.56
145,chrVII,ARS722,574622,574915,293,574768,yes,2.514713156,6.069809196,21.1,early,yes,yes,5256.35,yes,334243.79,no,
146,chrVII,ARS723,575484,576346,862,575915,no,1.798082808,7.70194808,21.1,early,yes,no,,no,,no,
148,chrVII,ARS727,659907,660002,95,659954,no,0.20295379,5.242156579,23.0,early,yes,no,,yes,747084.7,no,
149,chrVII,ARS728,715312,715377,65,715344,yes,1.348938443,6.016453103,22.0,early,yes,no,,yes,359431.52,no,
150,chrVII,ARS729,777966,778214,248,778090,no,3.901150088,9.297888642,20.7,early,yes,no,,yes,361462.54,no,
151,chrVII,ARS731,834491,834734,243,834612,yes,14.64749667,12.27906224,19.7,early,yes,yes,4898.69,yes,331252.84,yes,79.87
152,chrVII,ARS737,888413,888493,80,888453,yes,14.00534107,13.2616673,16.8,early,yes,yes,7023.4,yes,395878.18,yes,375.07
153,chrVII,ARS733,977728,977976,248,977852,no,0.102736294,2.708277924,27.0,late,yes,no,,yes,165068.8,no,
154,chrVII,ARS734,999456,999576,120,999516,yes,0.084345578,2.661279727,28.0,late,yes,no,,yes,760507.65,no,
155,chrVII,ARS735,1002239,1002522,283,1002380,no,0.082411723,1.918671042,28.0,late,yes,no,,no,,no,
156,chrVII,ARS736,1083795,1084863,1068,1084329,yes,0.306953744,4.848479275,28.8,late,yes,no,,yes,491741.29,no,
159,chrVIII,ARS805,64296,64371,75,64334,yes,2.239885693,7.056086385,24.9,early,yes,no,,yes,305481.7,no,
160,chrVIII,ARS806,116179,116421,242,116300,yes,11.47192062,11.26590307,21.4,early,yes,no,,yes,385846.21,yes,112.34
161,chrVIII,ARS807,133438,133539,101,133488,no,3.115647693,8.468184518,20.6,early,yes,yes,5328.37,yes,593697.4,yes,60.73
163,chrVIII,ARS809,168549,168723,174,168636,yes,0.113664978,2.351691686,28.4,late,yes,no,,yes,633106.04,no,
166,chrVIII,ARS813,245773,245847,74,245810,yes,0.100267014,3.338656369,27.1,late,yes,yes,11252.22,yes,1452392.11,no,
168,chrVIII,ARS815,297060,297179,119,297120,no,6.943235844,10.9467729,22.4,early,yes,no,,yes,532158.66,no,
170,chrVIII,ARS820,447714,447795,81,447754,yes,3.050091874,8.840289899,20.9,early,yes,no,,yes,376346.41,no,
175,chrIX,ARS907,73820,73991,171,73906,yes,0.275511944,4.863327407,25.8,late,yes,yes,5631.46,yes,692417.13,no,
176,chrIX,ARS909,105870,106053,183,105962,no,1.277706044,9.614113223,24.4,early,yes,no,,yes,442614.29,no,
178,chrIX,ARS911,136098,136338,240,136218,no,0.085618116,2.538192346,29.4,late,yes,no,,yes,245947.13,no,
180,chrIX,ARS913,214624,214754,130,214689,no,15.30461892,14.74443262,24.3,early,yes,no,,yes,275416.67,yes,71.16
182,chrIX,ARS914,247705,247760,55,247732,no,0.495993891,6.595926631,24.3,early,yes,yes,5363.22,yes,688134.74,no,
184,chrIX,ARS918,313861,314035,174,313948,no,0.138321409,4.283033853,26.7,late,yes,no,,no,,no,
185,chrIX,ARS919,341976,342045,69,342010,yes,11.76324706,10.52077737,20.8,early,yes,yes,11555.78,yes,404478.88,yes,221.36
186,chrIX,ARS920,357160,357396,236,357278,yes,14.36913246,10.51953543,23.1,early,yes,yes,12569.43,yes,251834.92,yes,596.77
188,chrIX,ARS922,411935,412011,76,411973,no,16.91556913,13.0862418,20.9,early,yes,no,,yes,487243.25,yes,413.7
193,chrX,ARS1005,67663,67736,73,67700,no,0.209161611,4.969172183,24.9,early,yes,no,,yes,927236.77,no,
194,chrX,ARS1006,99458,99678,220,99568,no,0.994687629,7.52437748,24.8,early,yes,no,,yes,176625.63,no,
196,chrX,ARS1008,204029,204917,888,204473,no,8.187929744,10.2140479,19.6,early,yes,yes,6006.36,yes,746789.77,yes,114.08
197,chrX,ARS1009,228552,229043,491,228798,no,0.167081247,5.30596877,20.8,early,yes,yes,5041.64,yes,632325.99,no,
199,chrX,ARS1011,337281,337529,248,337405,no,0.089615103,1.4163032,29.4,late,yes,no,,yes,770677.17,no,
200,chrX,ARS1012,374880,375122,242,375001,no,7.86168028,9.283398413,18.9,early,yes,no,,yes,509149.02,yes,92.33
201,chrX,ARS1013,375706,376227,521,375966,yes,4.379787677,8.621508357,18.9,early,yes,no,,no,,yes,92.33
202,chrX,ARS1014,417195,417440,245,417318,no,13.31925175,10.76319879,19.1,early,yes,yes,40682.17,yes,409326.45,yes,991.4
203,chrX,ARS1015,442556,442965,409,442760,yes,13.49280164,11.33623661,21.4,early,yes,yes,8510.53,yes,317461.26,yes,111.33
206,chrX,ARS1018,540546,540780,234,540663,no,11.4825813,9.49576426,21.1,early,yes,yes,12157.75,yes,736797.47,yes,441.55
207,chrX,ARS1019,612846,613278,432,613062,no,13.78883933,11.57248348,19.7,early,yes,yes,7216.05,yes,328489.93,yes,174.88
209,chrX,ARS1021,684009,684098,89,684054,yes,15.80762139,13.23178806,18.3,early,yes,yes,6424.89,yes,250535.62,yes,315.6
211,chrX,ARS1023,729983,730513,530,730248,no,0.018147371,0.0,31.7,late,yes,no,,yes,528598.94,no,
212,chrX,ARS1024,737034,737275,241,737154,no,0.001327856,0.0,31.7,late,yes,no,,yes,116722.37,no,
214,chrXI,ARS1102,7528,8309,781,7918,no,0.069857382,0.321908663,30.0,late,yes,no,,no,,no,
215,chrXI,ARS1103,55671,55917,246,55794,no,7.399370755,12.85055203,21.7,early,yes,yes,4626.14,yes,1250343.91,yes,99.95
217,chrXI,ARS1125,98364,98523,159,98444,yes,0.146967504,5.338583597,26.1,late,yes,no,,yes,849563.64,no,
218,chrXI,ARS1106,153020,153135,115,153078,yes,0.758036187,7.087229194,24.4,early,yes,no,,yes,873413.04,no,
220,chrXI,ARS1127,213439,213743,304,213591,yes,0.373983401,4.244245348,22.6,early,yes,no,,yes,532528.89,no,
221,chrXI,ARS1109,329682,329930,248,329806,yes,1.157634004,8.321367801,21.6,early,yes,yes,5048.35,yes,1018434.17,no,
222,chrXI,ARS1112,388970,389264,294,389117,no,0.264142612,4.140630459,27.2,late,yes,no,,yes,685137.56,no,
223,chrXI,ARS1113,417185,417417,232,417301,yes,1.54557754,5.011703723,23.3,early,yes,yes,5158.89,yes,688150.84,no,
224,chrXI,ARS1114,448020,448254,234,448137,yes,15.81516931,12.64369798,18.8,early,yes,yes,29573.93,yes,586627.56,yes,171.63
226,chrXI,ARS1116,517017,517265,248,517141,no,0.871353625,8.187095752,25.7,late,yes,no,,yes,660354.93,no,
227,chrXI,ARS1118,581833,582070,237,581952,yes,0.114246336,2.710256548,29.6,late,yes,yes,4338.24,yes,434088.71,no,
228,chrXI,ARS1120,612378,612463,85,612420,no,0.148156093,4.196678088,27.8,late,yes,no,,yes,646856.35,no,
229,chrXI,ARS1123,642727,642973,246,642850,no,0.077274686,1.752855844,29.2,late,yes,yes,4586.37,yes,1227596.61,no,
231,chrXII,ARS1206,91419,91660,241,91540,no,7.462831142,9.062854259,24.2,early,yes,no,,yes,387912.37,no,
232,chrXII,ARS1207,138185,139164,979,138674,no,3.817324443,8.313312284,22.9,early,yes,no,,no,,yes,82.8
233,chrXII,ARS1208,150947,151389,442,151168,no,0.458784411,10.64903462,22.9,early,yes,yes,7472.63,yes,25352.28,yes,132.54
234,chrXII,ARS1209,156648,156884,236,156766,yes,12.93677759,10.51581593,21.1,early,yes,yes,8743.92,yes,477666.49,yes,229.76
236,chrXII,ARS1211,231179,231421,242,231300,no,15.58339822,11.00352084,20.3,early,yes,no,,yes,89871.41,yes,63.59
237,chrXII,ARS1212,289315,289444,129,289380,no,0.270616809,4.862836898,31.5,late,yes,no,,yes,488855.78,no,
239,chrXII,ARS1213,373254,373332,78,373293,no,15.75164252,10.71080929,18.2,early,yes,yes,11099.21,yes,404531.76,yes,130.77
241,chrXII,ARS1215,412686,412893,207,412790,yes,2.24954117,9.190139537,22.0,early,yes,no,,yes,487054.02,no,
242,chrXII,ARS1216,450485,450725,240,450605,no,0.119522337,6.414467679,24.8,early,yes,no,,yes,553282.56,no,
244,chrXII,ARS1217,512867,513115,248,512991,no,5.167237012,10.64346163,20.2,early,yes,no,,yes,667491.65,no,
245,chrXII,ARS1218,603024,603132,108,603078,yes,15.53274605,13.04611171,17.8,early,yes,yes,8734.63,yes,316741.61,yes,125.14
246,chrXII,ARS1219,623198,623861,663,623530,no,0.11299839,3.790927065,24.4,early,yes,no,,yes,89144.77,no,
247,chrXII,ARS1220,659884,659935,51,659910,no,2.472198431,8.708068659,20.5,early,yes,no,,yes,527767.11,no,
249,chrXII,ARS1223,744943,745179,236,745061,yes,3.664079029,10.69088939,21.7,early,yes,no,,yes,445400.0,no,
250,chrXII,ARS1226,794100,794231,131,794166,no,0.892625847,6.347018717,24.3,early,yes,no,,yes,581469.81,no,
251,chrXII,ARS1238,888570,888810,240,888690,no,0.100101318,2.1867955,28.3,late,yes,yes,4024.86,yes,1238558.02,no,
253,chrXII,ARS1230,930891,931064,173,930978,no,0.079759815,1.041274494,28.4,late,yes,no,,no,,no,
254,chrXII,ARS1232,1007186,1007475,289,1007330,no,0.08785791,3.271946656,27.1,late,yes,no,,yes,393918.17,no,
256,chrXII,ARS1234,1024026,1024186,160,1024106,yes,0.084533014,1.066038507,27.6,late,yes,no,,yes,624905.47,no,
257,chrXII,ARS1235,1059439,1059923,484,1059681,no,0.072383615,4.540572129,28.9,late,yes,no,,yes,385418.46,no,
258,chrXIII,ARS1303,31766,31835,69,31800,yes,5.339089652,11.12977984,23.2,early,yes,no,,yes,660449.54,no,
260,chrXIII,ARS1305,94217,94463,246,94340,no,0.522750719,6.845561366,27.6,late,yes,no,,yes,209148.68,no,
261,chrXIII,ARS1307,137300,137548,248,137424,yes,4.844228227,11.55119865,23.4,early,yes,no,,yes,565359.05,no,
263,chrXIII,ARS1308,183797,183887,90,183842,no,12.88179775,9.956844944,20.9,early,yes,no,,yes,645391.66,yes,215.78
264,chrXIII,ARS1309,263063,263296,233,263180,yes,15.92124408,12.96670274,20.2,early,yes,yes,22663.64,yes,525379.66,yes,1021.37
265,chrXIII,ARS1310,286835,286951,116,286893,no,14.58726568,11.19352499,19.2,early,yes,no,,yes,566804.42,yes,358.08
266,chrXIII,ARS1312,371001,371105,104,371053,yes,2.274924966,7.475264022,19.6,early,yes,yes,3522.3,yes,346166.87,no,
267,chrXIII,ARS1316,468179,468469,290,468324,no,0.090180352,1.027589655,31.8,late,yes,no,,yes,102082.34,no,
268,chrXIII,ARS1317,477606,478301,695,477954,yes,0.090215868,0.807324245,33.0,late,yes,no,,no,,no,
269,chrXIII,ARS1319,503389,503771,382,503580,no,0.431479732,2.932058594,26.7,late,yes,no,,yes,903316.51,no,
270,chrXIII,ARS1320,535597,535844,247,535720,yes,1.037530242,6.595780831,19.8,early,yes,no,,yes,493494.7,no,
273,chrXIII,ARS1323,611275,611489,214,611382,yes,0.789949507,6.44792052,24.5,early,yes,no,,yes,355737.37,no,
275,chrXIII,ARS1325,649309,649552,243,649430,no,3.217678997,8.63378997,19.5,early,yes,no,,yes,191070.54,no,
276,chrXIII,ARS1327,758224,758471,247,758348,no,0.119778945,2.893101233,28.2,late,yes,no,,yes,524997.83,no,
279,chrXIII,ARS1330,815342,815567,225,815454,yes,12.64185512,11.75136222,21.3,early,yes,no,,yes,258921.49,yes,151.7
281,chrXIII,ARS1332,897935,897985,50,897960,yes,3.749828015,12.34746452,19.4,early,yes,no,,yes,782291.96,no,
284,chrXIV,ARS1405,28469,28700,231,28584,yes,0.067085763,0.303228003,32.0,late,yes,yes,4376.45,yes,1119582.08,no,
285,chrXIV,ARS1406,61599,61895,296,61747,no,0.095730946,3.581947667,27.8,late,yes,no,,yes,948364.42,no,
286,chrXIV,ARS1407,89531,89804,273,89668,yes,0.40915873,6.13425137,24.6,early,yes,no,,yes,971979.41,no,
288,chrXIV,ARS1410,126599,126805,206,126702,no,0.102670458,1.470789352,29.9,late,yes,no,,yes,264557.43,no,
289,chrXIV,ARS1411,169675,169753,78,169714,yes,0.096887886,1.556253861,30.4,late,yes,no,,yes,1186931.47,no,
290,chrXIV,ARS1412,196134,196232,98,196183,no,0.114451609,1.417799898,30.1,late,yes,no,,yes,390412.21,no,
291,chrXIV,ARS1413,250315,250931,616,250623,yes,0.076046925,1.570503601,29.0,late,yes,no,,yes,496422.86,no,
292,chrXIV,ARS1414,279982,280071,89,280026,yes,0.10140653,3.584359985,25.9,late,yes,no,,yes,1010013.99,no,
293,chrXIV,ARS1415,321921,322213,292,322067,yes,3.698683567,12.10808209,21.8,early,yes,no,,yes,445092.26,yes,29.75
294,chrXIV,ARS1416,325054,325267,213,325160,no,0.318206622,10.44089179,21.8,early,yes,no,,no,,no,
295,chrXIV,ARS1417,412267,412496,229,412382,yes,0.123691208,2.922820708,25.7,late,yes,yes,4591.83,yes,696774.02,no,
296,chrXIV,ARS1419,449429,449588,159,449508,yes,0.115667729,2.530583032,29.5,late,yes,no,,yes,674761.41,no,
297,chrXIV,ARS1420,498970,499154,184,499062,yes,0.094744356,3.111009036,27.2,late,yes,yes,5227.2,yes,1037790.78,no,
299,chrXIV,ARS1422,561111,561388,277,561250,no,13.74710598,11.65725877,18.4,early,yes,yes,10241.06,yes,289709.94,yes,388.72
301,chrXIV,ARS1424,609520,609607,87,609564,yes,8.641769345,10.51193744,21.4,early,yes,yes,7767.28,yes,310883.48,yes,135.44
303,chrXIV,ARS1426,635664,635904,240,635784,yes,6.94638329,9.766604492,24.7,early,yes,no,,yes,171900.77,yes,49.2
304,chrXIV,ARS1427,691486,691730,244,691608,no,0.13741883,3.10789251,29.5,late,yes,no,,yes,718693.15,no,
305,chrXV,ARS1531,35669,35904,235,35786,no,1.795024293,6.800503014,24.5,early,yes,yes,5537.59,yes,659498.75,no,
307,chrXV,ARS1508,85270,85361,91,85316,no,0.154220651,4.426748743,24.3,early,yes,no,,yes,984622.65,no,
308,chrXV,ARS1509,113885,113983,98,113934,no,8.088111789,11.04866909,25.2,early,yes,yes,6224.12,yes,218323.0,yes,54.49
309,chrXV,ARS1510,166976,167221,245,167098,no,6.786388368,9.086970756,20.2,early,yes,yes,4607.37,yes,497750.73,yes,41.47
310,chrXV,ARS1511,277530,277778,248,277654,yes,16.58837242,13.01207292,18.9,early,yes,no,,yes,582714.13,yes,560.94
311,chrXV,ARS1512,309359,309925,566,309642,no,2.45573438,7.38107369,24.5,early,yes,yes,5483.73,yes,249971.23,no,
312,chrXV,ARS1513,337424,337491,67,337458,yes,13.22554442,14.18276296,20.8,early,yes,yes,21248.62,yes,371438.18,yes,191.45
313,chrXV,ARS1501,489683,489942,259,489812,no,0.339591946,5.81384748,23.1,early,yes,no,,yes,620528.14,no,
314,chrXV,ARS1516,566410,566643,233,566526,yes,0.075497904,1.78483658,28.1,late,yes,no,,no,,no,
315,chrXV,ARS1502,600886,600960,74,600923,no,0.07011788,0.915032552,27.5,late,yes,no,,yes,1031745.73,no,
317,chrXV,ARS1519,656701,656772,71,656736,yes,0.095820166,1.965452693,26.4,late,yes,no,,yes,694282.04,no,
319,chrXV,ARS1523,766605,766788,183,766696,no,0.083911237,2.57477333,28.1,late,yes,no,,yes,901924.34,no,
